machine_id,timestamp,temperature_c,pressure_bar,voltage_mean_v,rotation_mean_rpm,pieces_produced
MACH-01,2025-06-01 00:00:00,46.348,198.203,227.568,1541.787,4
MACH-01,2025-06-01 00:00:00,46.332,198.206,227.57,1541.76,4
MACH-01,2025-06-01 01:00:00,48.762,198.295,227.48,1537.86,4
MACH-01,2025-06-01 02:00:00,51.352,199.545,228.68,1584.66,13
MACH-01,2025-06-01 03:00:00,49.512,201.641,228.44,1588.96,10
MACH-01,2025-06-01 04:00:00,51.982,200.157,227.84,1548.66,6
MACH-01,2025-06-01 05:00:00,50.402,199.914,227.5,1554.76,4
MACH-01,2025-06-01 06:00:00,49.732,198.551,227.65,1555.76,7
MACH-01,2025-06-01 07:00:00,50.292,199.972,226.89,1593.86,19
MACH-01,2025-06-01 08:00:00,48.672,200.262,226.05,1567.86,12
MACH-01,2025-06-01 09:00:00,46.692,199.051,225.11,1532.06,5
MACH-01,2025-06-01 10:00:00,46.772,198.124,227.03,1550.86,10
MACH-01,2025-06-01 11:00:00,44.972,198.291,225.83,1556.66,15
MACH-01,2025-06-01 12:00:00,43.322,197.29,225.49,1507.26,11
MACH-01,2025-06-01 13:00:00,42.762,198.082,225.83,1539.66,12
MACH-01,2025-06-01 14:00:00,39.582,198.388,225.24,1523.96,12
MACH-01,2025-06-01 15:00:00,40.372,196.562,225.01,1522.36,10
MACH-01,2025-06-01 16:00:00,38.922,196.164,225.5,1517.46,7
MACH-01,2025-06-01 17:00:00,39.252,196.26,225.52,1558.96,14
MACH-01,2025-06-01 18:00:00,40.452,197.282,225.8,1516.96,8
MACH-01,2025-06-01 19:00:00,41.742,197.812,225.8,1577.46,14
MACH-01,2025-06-01 20:00:00,41.492,195.872,226.05,1501.06,7
MACH-01,2025-06-01 21:00:00,44.272,196.491,225.9,1530.86,7
MACH-01,2025-06-01 22:00:00,44.262,196.725,225.41,1543.76,4
MACH-01,2025-06-01 23:00:00,47.482,198.236,226.38,1575.66,9
MACH-01,2025-06-02 00:00:00,49.262,198.864,227.65,1589.96,21
MACH-01,2025-06-02 01:00:00,49.812,199.555,227.47,1601.06,25
MACH-01,2025-06-02 02:00:00,50.612,201.224,228.11,1593.16,24
MACH-01,2025-06-02 03:00:00,50.962,200.475,228.38,1584.76,21
MACH-01,2025-06-02 04:00:00,52.382,202.391,229.65,1581.56,23
MACH-01,2025-06-02 05:00:00,55.132,201.212,228.9,1616.66,44
MACH-01,2025-06-02 06:00:00,55.302,202.835,228.6,1619.56,49
MACH-01,2025-06-02 07:00:00,54.382,201.617,228.67,1636.26,49
MACH-01,2025-06-02 08:00:00,52.452,200.998,226.96,1608.66,47
MACH-01,2025-06-02 09:00:00,51.632,200.442,228.62,1618.66,45
MACH-01,2025-06-02 10:00:00,48.842,200.811,228.27,1594.96,45
MACH-01,2025-06-02 11:00:00,48.442,198.586,227.14,1639.36,50
MACH-01,2025-06-02 12:00:00,49.362,199.388,227.24,1619.16,55
MACH-01,2025-06-02 13:00:00,46.612,200.652,226.5,1588.86,40
MACH-01,2025-06-02 14:00:00,44.882,198.153,226.62,1573.66,37
MACH-01,2025-06-02 15:00:00,44.072,197.297,226.83,1559.56,43
MACH-01,2025-06-02 16:00:00,45.442,197.885,227.2,1580.86,48
MACH-01,2025-06-02 17:00:00,46.572,198.076,226.13,1603.66,53
MACH-01,2025-06-02 18:00:00,44.862,197.665,226.62,1594.76,48
MACH-01,2025-06-02 19:00:00,45.902,199.645,227.18,1611.86,48
MACH-01,2025-06-02 20:00:00,46.872,199.478,227.3,1595.66,45
MACH-01,2025-06-02 21:00:00,47.832,200.608,227.27,1594.26,55
MACH-01,2025-06-02 22:00:00,48.052,199.132,226.23,1569.36,19
MACH-01,2025-06-02 23:00:00,49.212,198.761,228.32,1597.96,34
MACH-01,2025-06-03 00:00:00,51.342,200.867,227.23,1551.06,19
MACH-01,2025-06-03 01:00:00,49.982,200.037,227.71,1585.56,25
MACH-01,2025-06-03 02:00:00,51.452,199.049,227.03,1582.16,17
MACH-01,2025-06-03 03:00:00,51.772,200.479,227.58,1608.66,24
MACH-01,2025-06-03 04:00:00,52.102,202.749,227.77,1597.96,26
MACH-01,2025-06-03 05:00:00,56.492,202.797,229.89,1660.66,53
MACH-01,2025-06-03 06:00:00,53.404,201.99,228.31,1671.548,50
MACH-01,2025-06-03 06:00:00,53.422,202.009,228.3,1671.56,50
MACH-01,2025-06-03 07:00:00,56.522,202.829,228.75,1612.26,47
MACH-01,2025-06-03 08:00:00,53.242,200.726,228.43,1630.36,47
MACH-01,2025-06-03 09:00:00,51.282,200.944,228.65,1626.26,46
MACH-01,2025-06-03 10:00:00,50.572,201.187,227.48,1597.96,48
MACH-01,2025-06-03 11:00:00,49.322,200.896,228.19,1614.06,46
MACH-01,2025-06-03 12:00:00,48.142,199.406,227.81,1610.36,46
MACH-01,2025-06-03 13:00:00,46.142,197.363,227.61,1598.76,48
MACH-01,2025-06-03 14:00:00,45.052,200.296,226.76,1556.86,44
