incident_id,machine_id,severity,shift,type_surchauffe,type_baisse_pression,type_vibration,type_bruit_mecanique,type_surconsommation,type_blocage_mecanique,type_alarme_capteur,type_arret_urgence,type_defaut_qualite,incident_at_source
INC-000001,MACH-06,4,nuit,True,False,False,False,False,False,False,False,False,2025-06-01 05:42:00
INC-000002,MACH-15,3,apres-midi,False,True,False,False,False,False,False,False,False,2025-06-01 21:08:00
INC-000003,MACH-10,2,nuit,False,False,False,False,False,False,True,False,False,2025-06-02 05:43:00
INC-000004,MACH-10,3,nuit,False,False,False,False,False,False,True,False,False,2025-06-03 05:43:00
INC-000005,MACH-14,2,nuit,True,False,False,False,False,False,False,False,False,2025-06-04 01:01:00
INC-000006,MACH-10,4,nuit,False,False,False,False,False,False,True,False,False,2025-06-04 05:43:00
INC-000007,MACH-01,3,nuit,True,False,False,False,False,False,False,False,False,2025-06-04 22:24:00
INC-000008,MACH-14,3,nuit,True,False,False,False,False,False,False,False,False,2025-06-05 01:01:00
INC-000009,MACH-14,4,nuit,True,False,False,False,False,False,False,False,False,2025-06-06 01:01:00
INC-000010,MACH-13,3,nuit,False,False,False,True,False,False,False,False,False,2025-06-07 00:56:00
INC-000011,MACH-06,3,matin,True,False,False,False,False,False,False,False,False,2025-06-08 09:10:00
INC-000012,MACH-10,3,nuit,False,False,False,False,False,False,True,False,False,2025-06-09 03:34:00
INC-000013,MACH-03,3,nuit,False,False,False,False,False,False,True,False,False,2025-06-10 01:11:00
INC-000014,MACH-01,3,apres-midi,False,False,False,True,False,False,False,False,False,2025-06-11 14:54:00
INC-000015,MACH-01,2,apres-midi,False,False,True,False,False,False,False,False,False,2025-06-11 18:38:00
INC-000016,MACH-01,2,apres-midi,False,False,True,False,False,False,False,False,False,2025-06-11 18:43:00
INC-000017,MACH-06,2,nuit,False,False,False,False,False,False,True,False,False,2025-06-12 04:17:00
INC-000018,MACH-15,3,nuit,False,False,True,False,False,False,False,False,False,2025-06-12 04:46:00
INC-000019,MACH-13,3,matin,False,True,False,False,False,False,False,False,False,2025-06-12 09:25:00
INC-000020,MACH-13,2,matin,False,True,False,False,False,False,False,False,False,2025-06-12 09:48:00
INC-000021,MACH-07,3,matin,False,False,False,False,False,False,True,False,False,2025-06-12 10:27:00
INC-000022,MACH-01,2,matin,False,False,True,False,False,False,False,False,False,2025-06-12 11:15:00
INC-000023,MACH-01,3,apres-midi,False,False,True,False,False,False,False,False,False,2025-06-12 18:38:00
INC-000024,MACH-01,3,apres-midi,False,False,True,False,False,False,False,False,False,2025-06-12 18:45:00
INC-000025,MACH-06,3,nuit,False,False,False,False,False,False,True,False,False,2025-06-13 04:17:00
INC-000026,MACH-13,3,matin,False,True,False,False,False,False,False,False,False,2025-06-13 09:48:00
INC-000027,MACH-13,3,matin,False,True,False,False,False,False,False,False,False,2025-06-13 09:49:00
INC-000028,MACH-01,3,matin,False,False,True,False,False,False,False,False,False,2025-06-13 11:02:00
INC-000029,MACH-01,3,matin,False,False,True,False,False,False,False,False,False,2025-06-13 11:15:00
INC-000030,MACH-12,2,matin,False,False,True,False,False,False,False,False,False,2025-06-13 13:44:00
INC-000031,MACH-01,4,apres-midi,False,False,True,False,False,False,False,False,False,2025-06-13 18:38:00
INC-000032,MACH-06,2,apres-midi,False,True,False,False,False,False,False,False,False,2025-06-13 20:54:00
INC-000033,MACH-05,2,nuit,False,False,False,False,False,False,True,False,False,2025-06-14 01:07:00
INC-000034,MACH-05,2,nuit,False,False,False,False,False,False,True,False,False,2025-06-14 01:43:00
INC-000035,MACH-06,4,nuit,False,False,False,False,False,False,True,False,False,2025-06-14 04:17:00
INC-000036,MACH-13,4,matin,False,True,False,False,False,False,False,False,False,2025-06-14 09:48:00
INC-000037,MACH-01,4,matin,False,False,True,False,False,False,False,False,False,2025-06-14 11:15:00
INC-000038,MACH-12,3,matin,False,False,True,False,False,False,False,False,False,2025-06-14 13:44:00
INC-000039,MACH-13,3,apres-midi,False,False,False,False,False,False,False,False,True,2025-06-14 20:46:00
